basin,year,storm_name,timestamp,data1d_file,env_path,data3d_path,data3d_exists,split,future_direction24,future_inte_change24,has_history12,has_history24,delta_lon_norm,delta_lat_norm
SP,1970,DOLLY,1970021112,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021112.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021112_sst_z_u_v.nc,True,val,1,0,False,False,0.964,-0.5960000000000001
SP,1970,DOLLY,1970021200,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021200.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021200_sst_z_u_v.nc,True,val,1,0,False,False,1.1879999999999997,-0.5519999999999996
SP,1970,DOLLY,1970021212,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021212.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021212_sst_z_u_v.nc,True,val,1,0,True,False,1.5240000000000002,-0.6320000000000001
SP,1970,DOLLY,1970021300,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021300.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021300_sst_z_u_v.nc,True,val,1,0,True,False,1.5799999999999998,-0.7079999999999997
SP,1970,DOLLY,1970021312,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021312.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021312_sst_z_u_v.nc,True,val,1,3,True,True,1.476,-0.6999999999999997
SP,1970,DOLLY,1970021400,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021400.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021400_sst_z_u_v.nc,True,val,1,3,True,True,1.468,-0.7280000000000002
SP,1970,DOLLY,1970021412,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021412.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021412_sst_z_u_v.nc,True,val,1,3,True,True,1.724,-0.6959999999999997
SP,1970,DOLLY,1970021500,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021500.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021500_sst_z_u_v.nc,True,val,0,3,True,True,2.152,-0.6160000000000005
SP,1970,DOLLY,1970021512,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021512.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021512_sst_z_u_v.nc,True,val,0,3,True,True,2.208,-0.38400000000000034
SP,1970,DOLLY,1970021600,SP1970BSTDOLLY.txt,Env-Data/SP/1970/DOLLY/1970021600.npy,Data3D/SP/1970/DOLLY/TCND_DOLLY_1970021600_sst_z_u_v.nc,True,val,0,3,True,True,1.876,0.24399999999999977
